latitude,longitude,empty_slots,free_bikes,timestamp,last_updated,extra_normal_bikes,extra_ebikes,extra_slots,extra_has_ebikes,total_bike_slots
49.262487,-123.114397,29,7,2024-05-22T04:41:23.496000Z,1716352493,7,0,36,True,36
49.274566,-123.121817,9,7,2024-05-22T04:41:23.483000Z,1716352843,7,0,16,True,16
49.279764,-123.110154,20,5,2024-05-22T04:41:23.486000Z,1716352574,4,1,26,True,25
49.260599,-123.113504,10,6,2024-05-22T04:41:23.487000Z,1716352405,6,0,16,True,16
49.264215,-123.117772,11,4,2024-05-22T04:41:23.501000Z,1716352512,4,0,16,True,15
49.270877,-123.115103,7,6,2024-05-22T04:41:23.501000Z,1716352401,5,1,14,True,13
49.26893,-123.11813,4,10,2024-05-22T04:41:23.538000Z,1716352793,8,2,14,True,14
49.271721,-123.104207,13,7,2024-05-22T04:41:23.537000Z,1716352466,7,0,20,True,20
49.287214,-123.11287,26,0,2024-05-22T04:41:23.528000Z,0,0,0,26,True,26
49.282409,-123.118541,12,8,2024-05-22T04:41:23.527000Z,1716352444,7,1,20,True,20
49.287097,-123.118551,18,8,2024-05-22T04:41:23.526000Z,1716352760,8,0,26,True,26
49.273471,-123.118016,13,9,2024-05-22T04:41:23.525000Z,1716352643,9,0,22,True,22
49.282758,-123.122092,18,12,2024-05-22T04:41:23.542000Z,1716352810,9,3,30,True,30
49.28602,-123.116624,14,8,2024-05-22T04:41:23.583000Z,1716352528,6,2,22,True,22
49.279739,-123.116251,9,10,2024-05-22T04:41:23.584000Z,1716352653,6,4,20,True,19
49.275679,-123.116963,6,6,2024-05-22T04:41:23.582000Z,1716352823,5,1,14,True,12
49.282759,-123.106955,16,7,2024-05-22T04:41:23.175000Z,1716352485,3,4,22,True,23
49.288444,-123.139203,6,11,2024-05-22T04:41:23.181000Z,1716352742,9,2,18,True,17
49.289124,-123.12196,1,13,2024-05-22T04:41:23.168000Z,1716352772,9,4,14,True,14
49.28062,-123.12482,12,4,2024-05-22T04:41:23.172000Z,1716352823,4,0,18,True,16
49.279938,-123.127478,7,9,2024-05-22T04:41:23.160000Z,1716352794,8,1,15,True,16
49.273663,-123.127075,3,11,2024-05-22T04:41:23.232000Z,1716352514,9,2,14,True,14
49.28972,-123.144028,8,6,2024-05-22T04:41:23.239000Z,1716352422,6,0,14,True,14
49.285253,-123.134356,3,9,2024-05-22T04:41:23.207000Z,1716352689,7,2,12,True,12
49.283343,-123.131099,17,5,2024-05-22T04:41:23.294000Z,1716352528,2,3,22,True,22
49.284605,-123.108662,24,8,2024-05-22T04:41:23.289000Z,1716352439,7,1,32,True,32
49.279821,-123.10802,19,9,2024-05-22T04:41:23.288000Z,1716352704,9,0,28,True,28
49.278004,-123.105664,10,6,2024-05-22T04:41:23.298000Z,1716352823,6,0,16,True,16
49.279342,-123.101822,8,6,2024-05-22T04:41:23.297000Z,1716352454,6,0,14,True,14
49.273833,-123.114373,20,6,2024-05-22T04:41:23.295000Z,1716352717,5,1,26,True,26
49.28526,-123.141809,17,9,2024-05-22T04:41:23.476000Z,1716351944,3,6,26,True,26
49.281506,-123.120101,0,0,2024-05-22T04:41:23.474000Z,1716352402,0,0,0,True,0
49.276115,-123.114496,4,10,2024-05-22T04:41:23.473000Z,1716352817,9,1,14,True,14
49.272827,-123.147744,5,17,2024-05-22T04:41:23.473000Z,1716352656,17,0,22,True,22
49.269361,-123.13782,25,2,2024-05-22T04:41:23.472000Z,1716352523,2,0,28,True,27
49.2653,-123.13811,6,8,2024-05-22T04:41:23.482000Z,1716352766,7,1,14,True,14
49.262598,-123.138921,9,4,2024-05-22T04:41:23.517000Z,1716352333,1,3,14,True,13
49.25894,-123.139272,3,11,2024-05-22T04:41:23.516000Z,1716352550,11,0,14,True,14
49.258763,-123.115392,6,8,2024-05-22T04:41:23.519000Z,1716352311,7,1,14,True,14
49.266724,-123.104824,9,11,2024-05-22T04:41:23.518000Z,1716352725,10,1,20,True,20
49.262141,-123.101961,7,11,2024-05-22T04:41:23.520000Z,1716352394,6,5,18,True,18
49.268269,-123.147885,5,13,2024-05-22T04:41:23.522000Z,1716352403,12,1,18,True,18
49.275717,-123.142564,18,10,2024-05-22T04:41:23.521000Z,1716352763,7,3,28,True,28
49.276436,-123.11877,14,6,2024-05-22T04:41:23.524000Z,1716352698,5,1,20,True,20
49.277844,-123.120942,5,13,2024-05-22T04:41:23.523000Z,1716352809,12,1,18,True,18
49.265089,-123.119425,13,4,2024-05-22T04:41:23.576000Z,1716352380,4,0,18,True,17
49.28026,-123.135244,2,18,2024-05-22T04:41:23.562000Z,1716352802,15,3,20,True,20
49.291909,-123.140713,9,6,2024-05-22T04:41:23.644000Z,1716352829,6,0,18,True,15
49.293257,-123.138563,4,9,2024-05-22T04:41:23.643000Z,1716352478,8,1,16,True,13
49.288011,-123.132006,10,8,2024-05-22T04:41:23.642000Z,1716352834,7,1,18,True,18
49.28117,-123.104419,14,3,2024-05-22T04:41:23.640000Z,1716352774,1,2,18,True,17
49.283227,-123.120523,21,7,2024-05-22T04:41:23.630000Z,1716352593,7,0,28,True,28
49.299292,-123.130281,6,10,2024-05-22T04:41:23.399000Z,1716352767,9,1,16,True,16
49.29534,-123.150433,8,8,2024-05-22T04:41:23.402000Z,1716352842,6,2,16,True,16
49.294318,-123.148808,13,5,2024-05-22T04:41:23.396000Z,1716352507,4,1,18,True,18
49.298657,-123.121176,7,13,2024-05-22T04:41:23.387000Z,1716352217,9,4,20,True,20
49.259183,-123.120126,7,8,2024-05-22T04:41:23.397000Z,1716352506,8,0,16,True,15
49.263837,-123.105173,5,11,2024-05-22T04:41:23.397000Z,1716352780,8,3,16,True,16
49.270721,-123.146175,7,19,2024-05-22T04:41:23.385000Z,1716352772,15,4,26,True,26
