latitude,longitude,empty_slots,free_bikes,total_bike_slots
49.262487,-123.114397,29,7,36
49.274566,-123.121817,9,7,16
49.279764,-123.110154,20,5,25
49.260599,-123.113504,10,6,16
49.264215,-123.117772,11,4,15
49.270877,-123.115103,7,6,13
49.26893,-123.11813,4,10,14
49.271721,-123.104207,13,7,20
49.287214,-123.11287,26,0,26
49.282409,-123.118541,12,8,20
49.287097,-123.118551,18,8,26
49.273471,-123.118016,13,9,22
49.282758,-123.122092,18,12,30
49.28602,-123.116624,14,8,22
49.279739,-123.116251,9,10,19
49.275679,-123.116963,6,6,12
49.282759,-123.106955,16,7,23
49.288444,-123.139203,6,11,17
49.289124,-123.12196,1,13,14
49.28062,-123.12482,12,4,16
49.279938,-123.127478,7,9,16
49.273663,-123.127075,3,11,14
49.28972,-123.144028,8,6,14
49.285253,-123.134356,3,9,12
49.283343,-123.131099,17,5,22
49.284605,-123.108662,24,8,32
49.279821,-123.10802,19,9,28
49.278004,-123.105664,10,6,16
49.279342,-123.101822,8,6,14
49.273833,-123.114373,20,6,26
49.28526,-123.141809,17,9,26
49.281506,-123.120101,0,0,0
49.276115,-123.114496,4,10,14
49.272827,-123.147744,5,17,22
49.269361,-123.13782,25,2,27
49.2653,-123.13811,6,8,14
49.262598,-123.138921,9,4,13
49.25894,-123.139272,3,11,14
49.258763,-123.115392,6,8,14
49.266724,-123.104824,9,11,20
49.262141,-123.101961,7,11,18
49.268269,-123.147885,5,13,18
49.275717,-123.142564,18,10,28
49.276436,-123.11877,14,6,20
49.277844,-123.120942,5,13,18
49.265089,-123.119425,13,4,17
49.28026,-123.135244,2,18,20
49.291909,-123.140713,9,6,15
49.293257,-123.138563,4,9,13
49.288011,-123.132006,10,8,18
49.28117,-123.104419,14,3,17
49.283227,-123.120523,21,7,28
49.299292,-123.130281,6,10,16
49.29534,-123.150433,8,8,16
49.294318,-123.148808,13,5,18
49.298657,-123.121176,7,13,20
49.259183,-123.120126,7,8,15
49.263837,-123.105173,5,11,16
49.270721,-123.146175,7,19,26
49.265605,-123.152566,8,8,16
49.267222,-123.153157,12,4,16
49.262255,-123.126217,13,17,30
49.257654,-123.153212,31,8,39
49.25919,-123.148268,5,7,12
49.25741,-123.148531,9,3,12
49.285953,-123.124066,7,5,12
49.280881,-123.130672,2,14,16
49.256845,-123.120071,0,11,11
49.25849,-123.104799,5,11,16
49.258425,-123.100792,6,8,14
49.270905,-123.126006,14,4,18
49.273568,-123.129935,13,5,18
49.277141,-123.122589,16,2,18
49.267859,-123.145782,9,7,16
49.265336,-123.145823,6,10,16
49.267628,-123.127698,5,9,14
49.275938,-123.145939,5,11,16
49.2756,-123.102661,10,8,18
49.284157,-123.099917,16,4,20
49.258924,-123.152591,10,10,20
49.266774,-123.141135,11,4,15
49.273355,-123.154493,16,20,36
49.276144,-123.151272,14,17,31
49.268339,-123.157443,4,14,18
49.284062,-123.095097,9,5,14
49.261742,-123.13148,9,6,15
49.262206,-123.109091,11,3,14
49.27023,-123.10651,13,13,26
49.262062,-123.104656,8,12,20
49.27033,-123.10275,8,9,17
49.258902,-123.109596,6,8,14
49.265071,-123.123864,2,12,14
49.265198,-123.131043,8,8,16
49.273691,-123.102232,4,12,16
49.2685027,-123.0975014,8,12,20
49.288682,-123.11818,15,3,18
49.271741,-123.155421,6,15,21
