count_rest,category_mean,closed_bucket_mean,latitude,longitude
50,1.62,1.74,49.238105,-123.154966
48,1.7291666666666667,1.5416666666666667,49.243375,-123.104978
14,1.8571428571428572,1.5714285714285714,49.245135,-123.116098
20,2.05,1.8,49.245535,-123.120496
20,2.05,1.75,49.246243,-123.124373
50,1.66,1.5,49.247204,-123.101549
2,2.0,2.0,49.247854,-123.153422
30,1.6333333333333333,1.6,49.249184,-123.116141
50,1.7,1.48,49.249722,-123.104991
50,1.76,1.56,49.25094,-123.101306
31,1.5806451612903225,1.6129032258064515,49.251358,-123.115637
38,1.763157894736842,1.868421052631579,49.252656,-123.067965
50,1.76,1.56,49.252691,-123.101289
50,1.7,1.56,49.254667,-123.101389
10,1.8,2.3,49.25478,-123.23621
32,1.65625,1.5,49.254818,-123.114785
45,1.6222222222222222,1.4666666666666666,49.255034,-123.120226
44,1.6363636363636365,1.7272727272727273,49.256496,-123.075426
50,1.74,1.58,49.256694,-123.096579
50,1.64,1.48,49.256825,-123.105234
50,1.66,1.42,49.256845,-123.120071
43,1.6511627906976745,1.930232558139535,49.256857,-123.065646
43,1.8604651162790697,1.7209302325581395,49.25741,-123.148531
23,1.6956521739130435,1.9130434782608696,49.257654,-123.153212
50,1.62,1.52,49.257939,-123.089531
38,1.9473684210526316,1.6842105263157894,49.257985,-123.083366
50,1.76,1.54,49.258352,-123.096337
50,1.74,1.48,49.258425,-123.100792
50,1.76,1.44,49.25849,-123.104799
50,1.68,1.42,49.258761,-123.127071
37,1.7567567567567568,1.3783783783783783,49.258763,-123.115392
50,1.72,1.52,49.258817,-123.092797
44,1.8181818181818181,1.5227272727272727,49.258819,-123.131317
50,1.72,1.44,49.258902,-123.109596
33,1.8181818181818181,1.696969696969697,49.258924,-123.152591
45,1.8,1.711111111111111,49.25894,-123.139272
47,1.6382978723404256,1.425531914893617,49.259183,-123.120126
47,1.851063829787234,1.5957446808510638,49.25919,-123.148268
50,1.86,1.6,49.259469,-123.145718
41,1.6829268292682926,1.3902439024390243,49.259579,-123.114769
48,1.7708333333333333,1.8958333333333333,49.259999,-123.250902
50,1.76,1.38,49.260599,-123.113504
50,1.94,1.48,49.261122,-123.097571
50,1.64,1.56,49.261188,-123.066009
49,1.6938775510204083,1.6122448979591837,49.261263,-123.073707
35,1.8571428571428572,1.6571428571428573,49.261353,-123.085333
50,1.62,1.62,49.261403,-123.070102
50,1.7,1.52,49.26151,-123.089413
45,1.9111111111111112,1.4222222222222223,49.261742,-123.13148
50,1.96,1.48,49.261973,-123.09725
50,2.08,1.42,49.262062,-123.104656
50,1.98,1.38,49.262141,-123.101961
50,2.04,1.4,49.262206,-123.109091
43,1.697674418604651,1.6511627906976745,49.262242,-123.081459
50,1.84,1.38,49.262255,-123.126217
50,1.88,1.44,49.262321,-123.09306
50,1.8,1.34,49.262487,-123.114397
50,1.92,1.42,49.262598,-123.138921
49,1.7346938775510203,1.8979591836734695,49.26262,-123.2431
50,1.94,1.4,49.262822,-123.14338
